,,Foil 3,the cat is in the bag,foil 3,12114250,,,,,,,,,
,,Other,the cat is under the bag,other,138372416,,,,,,,,,
,,Other,the cat is on the bag,other,203096440,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6,between,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the cat is between the dogs,target,34195045,,M1_Preposition_sentence_69,,,,5,1,2,
,,Foil 1,the cat is under the dog,foil 1,132126536,,,,,,,,,
,,Foil 2,the cat is on the dog,foil 2,200514218,,,,,,,,,
,,Foil 3,the cat is beside the dog,foil 3,78196291,,,,,,,,,
,,Other,dogs,other,195612003,,,,,,,,,
,,Other,cats,other,781967421,,,,,,,,,
